Created: Mar 25, 2019  13:09:22
AIM version 912 // ID = 190216155237
"03-25-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  3.928274,  68.862739,  -84.616838,  109.096683,  -50.860759,  0.594178,  4.521663,  35.304797
 0.105000,  3.817113,  62.904222,  -79.828946,  101.634648,  -51.762418,  0.584814,  4.659652,  34.200687
 0.110000,  3.569800,  58.448252,  -73.040249,  93.547186,  -51.332604,  0.562344,  4.999958,  31.623082
 0.115000,  3.115565,  57.860773,  -63.985599,  86.267178,  -47.877737,  0.514040,  5.780062,  26.423712
 0.120000,  2.792464,  64.517869,  -59.167970,  87.540871,  -42.523351,  0.472638,  6.509422,  22.338697
 0.125000,  2.982740,  65.994440,  -63.978268,  91.915641,  -44.111361,  0.497833,  6.058324,  24.783785
 0.130000,  3.059846,  60.394733,  -63.869384,  87.902344,  -46.601759,  0.507371,  5.893495,  25.742485
 0.135000,  2.968441,  59.733896,  -61.675268,  85.860218,  -45.916181,  0.496024,  6.089950,  24.603959
 0.140000,  3.145470,  53.492865,  -62.464714,  82.239449,  -49.424351,  0.517546,  5.721026,  26.785356
 0.145000,  3.037371,  45.580468,  -55.632623,  71.920566,  -50.671919,  0.504628,  5.940570,  25.464959
 0.150000,  2.454267,  42.891735,  -42.397029,  60.309278,  -44.667746,  0.421006,  7.514233,  17.724609
 0.155000,  1.761053,  52.237087,  -29.223647,  59.855951,  -29.224555,  0.275639,  11.193197,  7.597668
 0.160000,  1.781562,  64.767532,  -29.870589,  71.323806,  -24.759051,  0.280979,  11.026510,  7.894943
 0.165000,  1.859961,  69.289654,  -31.708212,  76.200176,  -24.589741,  0.300690,  10.437627,  9.041433
 0.170000,  2.006959,  74.084810,  -35.936029,  82.340496,  -25.876496,  0.334876,  9.502314,  11.214208
 0.175000,  2.052830,  74.777764,  -37.482283,  83.645893,  -26.622321,  0.344870,  9.246887,  11.893544
 0.180000,  2.141660,  77.917668,  -39.894716,  87.537143,  -27.113001,  0.363394,  8.792450,  13.205504
 0.185000,  2.210248,  78.809343,  -42.205597,  89.399245,  -28.170903,  0.376995,  8.473286,  14.212529
 0.190000,  2.305054,  81.165281,  -45.025655,  92.817631,  -29.018950,  0.394866,  8.071001,  15.591932
 0.195000,  2.439220,  81.553547,  -49.669761,  95.488566,  -31.343341,  0.418473,  7.566655,  17.511950
 0.200000,  2.554719,  80.254654,  -53.677831,  96.551122,  -33.776400,  0.437368,  7.183067,  19.129046
 0.205000,  2.658422,  78.154475,  -57.010497,  96.738404,  -36.109287,  0.453316,  6.871976,  20.549554
 0.210000,  2.724169,  74.138290,  -58.843235,  94.652060,  -38.438944,  0.462967,  6.688991,  21.433886
 0.215000,  2.672039,  72.001854,  -57.294353,  92.015813,  -38.510541,  0.455344,  6.833216,  20.733774
 0.220000,  2.664595,  72.869150,  -57.147047,  92.605064,  -38.105099,  0.454237,  6.854347,  20.633137
 0.225000,  2.736564,  74.231162,  -59.185610,  94.937884,  -38.565945,  0.464749,  6.655631,  21.599160
 0.230000,  2.924328,  74.170296,  -64.123634,  98.046281,  -40.844995,  0.490359,  6.189724,  24.045156
 0.235000,  3.120038,  70.452575,  -68.236384,  98.080423,  -44.084593,  0.514568,  5.771152,  26.477980
