Created: Mar 25, 2019  15:17:51
AIM version 912 // ID = 190216155237
"03-25-19-1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  6.490223,  44.510600,  -101.517965,  110.847150,  -66.325046,  0.732985,  2.698095,  53.726738
 0.105000,  5.406229,  63.125450,  -105.652881,  123.074586,  -59.142644,  0.687804,  3.250708,  47.307415
 0.110000,  5.341241,  57.635796,  -100.548414,  115.895939,  -60.178151,  0.684604,  3.291207,  46.868306
 0.115000,  5.092952,  53.438063,  -93.684974,  107.854073,  -60.299599,  0.671752,  3.455822,  45.125056
 0.120000,  4.627944,  51.424928,  -85.502352,  99.775625,  -58.975525,  0.644630,  3.813784,  41.554838
 0.125000,  4.151583,  51.517802,  -78.488199,  93.885469,  -56.720150,  0.611770,  4.268239,  37.426232
 0.130000,  3.773356,  54.491606,  -74.387734,  92.211008,  -53.776019,  0.581008,  4.716364,  33.756984
 0.135000,  3.823248,  53.951091,  -74.888350,  92.298348,  -54.230350,  0.585342,  4.651812,  34.262482
 0.140000,  3.842012,  49.168373,  -71.886184,  87.092780,  -55.628934,  0.586949,  4.627999,  34.450864
 0.145000,  3.566365,  45.669399,  -64.794078,  79.271474,  -54.822418,  0.562015,  5.005044,  31.586070
 0.150000,  3.173880,  43.690794,  -56.682167,  71.566428,  -52.374942,  0.520830,  5.666088,  27.126340
 0.155000,  2.370652,  46.265130,  -42.652695,  62.926263,  -42.673618,  0.406643,  7.815735,  16.535847
 0.160000,  1.917686,  62.016625,  -34.890162,  71.157468,  -29.361883,  0.314525,  10.046890,  9.892612
 0.165000,  2.087138,  71.577780,  -39.509388,  81.757999,  -28.897800,  0.352151,  9.065427,  12.401016
 0.170000,  2.199077,  77.376362,  -42.190264,  88.131265,  -28.601935,  0.374820,  8.523554,  14.048975
 0.175000,  2.376256,  82.684898,  -47.191599,  95.204199,  -29.715194,  0.407628,  7.794722,  16.616049
 0.180000,  2.540672,  84.829798,  -52.436401,  99.727984,  -31.721783,  0.435135,  7.227510,  18.934288
 0.185000,  2.653565,  86.506678,  -55.894154,  102.993018,  -32.867583,  0.452589,  6.885912,  20.483716
 0.190000,  2.851224,  89.636109,  -61.772875,  108.860094,  -34.572795,  0.480685,  6.362796,  23.105769
 0.195000,  3.180246,  88.384862,  -71.637893,  113.771137,  -39.025603,  0.521559,  5.653927,  27.202405
 0.200000,  3.432490,  80.802246,  -77.560714,  112.002979,  -43.827453,  0.548786,  5.211933,  30.116650
 0.205000,  3.486852,  75.110965,  -77.655939,  108.037502,  -45.954494,  0.554253,  5.125836,  30.719663
 0.210000,  3.500705,  72.284835,  -77.199275,  105.758335,  -46.883060,  0.555625,  5.104362,  30.871929
 0.215000,  3.579761,  70.094660,  -78.178544,  105.000696,  -48.120772,  0.563296,  4.985267,  31.730232
 0.220000,  3.672646,  67.258066,  -79.011184,  103.761335,  -49.594083,  0.571977,  4.852429,  32.715765
 0.225000,  3.752269,  64.384971,  -79.322182,  102.163756,  -50.934219,  0.579148,  4.744203,  33.541285
 0.230000,  3.824632,  62.385871,  -79.710303,  101.221190,  -51.951313,  0.585461,  4.650047,  34.276411
 0.235000,  3.954277,  60.256702,  -80.898899,  100.873693,  -53.319894,  0.596308,  4.490582,  35.558369
 0.240000,  4.138556,  56.946908,  -82.030187,  99.859410,  -55.230984,  0.610786,  4.282225,  37.305901
 0.245000,  4.305628,  53.198407,  -82.099535,  97.828442,  -57.057891,  0.623042,  4.109657,  38.818105
 0.250000,  4.430585,  49.904010,  -81.412310,  95.490179,  -58.492693,  0.631716,  3.989569,  39.906455
 0.255000,  4.531787,  46.778664,  -80.171199,  92.820605,  -59.737200,  0.638453,  3.897419,  40.762248
 0.260000,  4.599375,  44.282036,  -78.765326,  90.359700,  -60.655318,  0.642817,  3.838250,  41.321402
 0.265000,  4.672067,  41.863464,  -77.297573,  87.905997,  -61.560650,  0.647395,  3.776615,  41.912011
 0.270000,  4.729698,  39.890839,  -75.921064,  85.762970,  -62.281542,  0.650941,  3.729161,  42.372479
 0.275000,  4.779606,  37.967602,  -74.358281,  83.490674,  -62.951093,  0.653956,  3.689034,  42.765801
 0.280000,  4.801323,  36.402237,  -72.752373,  81.351279,  -63.418649,  0.655251,  3.671845,  42.935395
 0.285000,  4.802807,  35.147458,  -71.210149,  79.411769,  -63.730376,  0.655339,  3.670676,  42.946953
