Created: Mar 26, 2019  09:19:05
AIM version 912 // ID = 190216155237
"03-26-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  22.776038,  29.829958,  -175.060198,  177.583499,  -80.329918,  0.915882,  0.763212,  83.883928
 0.105000,  22.111471,  27.514382,  -164.998026,  167.276387,  -80.532849,  0.913463,  0.786182,  83.441444
 0.110000,  21.873398,  24.960221,  -155.667228,  157.655632,  -80.890679,  0.912562,  0.794751,  83.276974
 0.115000,  20.656823,  23.500079,  -145.864585,  147.745494,  -80.847928,  0.907650,  0.841628,  82.382916
 0.120000,  19.265626,  22.561529,  -137.049736,  138.894394,  -80.651790,  0.901311,  0.902509,  81.236102
 0.125000,  17.387304,  22.261716,  -128.148329,  130.067591,  -80.145162,  0.891229,  1.000211,  79.428965
 0.130000,  15.944463,  21.458928,  -119.223998,  121.139785,  -79.796814,  0.881967,  1.090950,  77.786640
 0.135000,  12.851657,  22.990514,  -108.785070,  111.187928,  -78.066906,  0.855613,  1.354453,  73.207350
 0.140000,  9.421791,  27.142245,  -98.456927,  102.129662,  -74.587859,  0.808094,  1.850758,  65.301657
 0.145000,  6.163852,  38.314659,  -90.283345,  98.076987,  -67.004606,  0.720821,  2.843456,  51.958231
 0.150000,  5.678046,  47.570227,  -95.714508,  106.884019,  -63.572679,  0.700511,  3.091698,  49.071595
 0.155000,  6.187134,  46.000286,  -99.931035,  110.010173,  -65.282539,  0.721725,  2.832565,  52.088692
 0.160000,  6.955425,  40.127260,  -100.664643,  108.367742,  -68.266748,  0.748599,  2.515013,  56.040080
 0.165000,  7.271928,  34.276039,  -94.991949,  100.986718,  -70.159108,  0.758218,  2.404114,  57.489512
 0.170000,  6.393988,  32.398745,  -84.032931,  90.062268,  -68.916065,  0.729510,  2.739375,  53.218479
 0.175000,  4.539354,  38.854556,  -72.367312,  82.138324,  -61.768421,  0.638947,  3.890702,  40.825338
 0.180000,  3.616322,  50.245981,  -68.958936,  85.322878,  -53.921657,  0.566755,  4.932098,  32.121084
 0.185000,  3.679748,  56.958522,  -74.224817,  93.560658,  -52.498238,  0.572627,  4.842570,  32.790119
 0.190000,  3.518176,  56.323084,  -70.964032,  90.599027,  -51.561588,  0.557343,  5.077542,  31.063173
 0.195000,  3.214904,  65.875842,  -69.095138,  95.466040,  -46.366428,  0.525493,  5.588655,  27.614330
 0.200000,  3.398671,  71.383524,  -74.732958,  103.347098,  -46.313245,  0.545317,  5.267017,  29.737082
 0.205000,  3.406595,  75.165763,  -75.870361,  106.799830,  -45.267368,  0.546135,  5.254003,  29.826322
 0.210000,  3.606699,  82.074083,  -81.868628,  115.925094,  -44.928275,  0.565850,  4.945979,  32.018585
 0.215000,  4.067598,  88.705454,  -93.608966,  128.962382,  -46.540732,  0.605336,  4.360075,  36.643128
 0.220000,  5.152295,  81.014869,  -112.220391,  138.408183,  -54.173581,  0.674918,  3.414979,  45.551435
 0.225000,  5.974542,  64.191241,  -114.421827,  131.197827,  -60.707454,  0.713243,  2.935252,  50.871532
 0.230000,  5.888564,  59.172003,  -109.192541,  124.194754,  -61.546615,  0.709664,  2.978948,  50.362259
 0.235000,  6.110098,  57.933400,  -110.980798,  125.191918,  -62.434973,  0.718710,  2.868927,  51.654395
 0.240000,  6.731500,  52.288538,  -112.930559,  124.448392,  -65.155272,  0.741318,  2.599909,  54.955237
 0.245000,  7.373194,  47.645011,  -114.533157,  124.047938,  -67.413141,  0.761143,  2.370680,  57.933793
 0.250000,  8.627886,  39.233912,  -114.513552,  121.048146,  -71.087962,  0.792270,  2.022535,  62.769189
 0.255000,  9.472027,  32.699020,  -109.953093,  114.712285,  -73.438144,  0.809015,  1.840868,  65.450529
 0.260000,  9.649671,  29.634048,  -105.229811,  109.322870,  -74.272238,  0.812201,  1.806732,  65.967009
 0.265000,  9.689421,  27.859802,  -101.807973,  105.551087,  -74.695789,  0.812899,  1.799267,  66.080500
 0.270000,  9.844438,  26.332240,  -99.507088,  102.932246,  -75.177888,  0.815574,  1.770736,  66.516041
 0.275000,  10.332545,  24.065341,  -97.314563,  100.246021,  -76.109886,  0.823517,  1.686547,  67.818047
 0.280000,  10.824034,  21.924977,  -94.796673,  97.299095,  -76.977505,  0.830853,  1.609516,  69.031669
 0.285000,  11.177563,  20.199772,  -92.040962,  94.231468,  -77.621958,  0.835764,  1.558332,  69.850066
 0.290000,  11.495786,  18.722222,  -89.399338,  91.338728,  -78.172059,  0.839946,  1.514972,  70.550935
 0.295000,  11.529276,  17.728369,  -86.500587,  88.298622,  -78.417714,  0.840374,  1.510549,  70.622821
 0.300000,  11.246972,  17.338236,  -83.824808,  85.599141,  -78.313932,  0.836694,  1.548663,  70.005741
 0.305000,  10.976776,  17.145473,  -81.818289,  83.595453,  -78.164752,  0.833010,  1.586994,  69.390591
 0.310000,  10.849116,  16.814689,  -80.099847,  81.845704,  -78.144659,  0.831211,  1.605774,  69.091179
 0.315000,  10.757862,  16.445316,  -78.433460,  80.138980,  -78.158347,  0.829901,  1.619474,  68.873575
 0.320000,  10.846066,  15.884412,  -77.039478,  78.660001,  -78.349850,  0.831168,  1.606228,  69.083955
 0.325000,  11.122149,  15.001701,  -75.398590,  76.876514,  -78.747223,  0.835013,  1.566138,  69.724631
 0.330000,  11.167485,  14.453464,  -73.663097,  75.067666,  -78.899135,  0.835627,  1.559746,  69.827331
 0.335000,  11.044226,  14.172957,  -72.039979,  73.420919,  -78.870063,  0.833945,  1.577248,  69.546480
 0.340000,  10.977002,  13.820569,  -70.408559,  71.752166,  -78.894685,  0.833013,  1.586961,  69.391117
 0.345000,  10.831449,  13.625727,  -68.967793,  70.300903,  -78.824334,  0.830959,  1.608408,  69.049285
 0.350000,  10.731574,  13.373761,  -67.524275,  68.835929,  -78.797204,  0.829520,  1.623464,  68.810324
 0.355000,  10.751045,  12.967312,  -66.051220,  67.312071,  -78.892973,  0.829802,  1.620507,  68.857196
 0.360000,  10.723214,  12.602211,  -64.472909,  65.693011,  -78.940253,  0.829398,  1.624737,  68.790158
 0.365000,  10.466212,  12.494485,  -62.785934,  64.017073,  -78.745235,  0.825574,  1.664875,  68.157321
 0.370000,  10.050251,  12.589097,  -61.076383,  62.360324,  -78.353412,  0.819009,  1.734230,  67.077514
 0.375000,  9.565552,  12.824972,  -59.468091,  60.835301,  -77.830040,  0.810706,  1.822737,  65.724353
 0.380000,  9.099255,  13.100609,  -57.971115,  59.432955,  -77.266040,  0.801966,  1.916885,  64.314880
 0.385000,  8.618674,  13.413457,  -56.375579,  57.949346,  -76.616581,  0.792071,  2.024716,  62.737666
 0.390000,  8.087101,  13.903292,  -54.904686,  56.637674,  -75.790061,  0.779908,  2.159135,  60.825620
 0.395000,  7.562478,  14.472005,  -53.464518,  55.388570,  -74.854020,  0.766423,  2.310632,  58.740383
 0.400000,  6.974640,  15.291338,  -52.042053,  54.242053,  -73.625939,  0.749205,  2.507987,  56.130812
 0.405000,  6.316534,  16.459331,  -50.573457,  53.184435,  -71.972444,  0.726647,  2.773536,  52.801520
 0.410000,  5.655848,  18.070782,  -49.431564,  52.631100,  -69.919140,  0.699512,  3.104092,  48.931754
 0.415000,  5.094804,  19.963809,  -48.815512,  52.740003,  -67.757303,  0.671852,  3.454532,  45.138462
 0.420000,  4.635267,  22.084854,  -48.671811,  53.447974,  -65.593924,  0.645092,  3.807564,  41.614398
 0.425000,  4.318620,  24.360503,  -49.485296,  55.156401,  -63.790122,  0.623963,  4.096828,  38.932938
 0.430000,  4.210868,  26.158746,  -51.321349,  57.603480,  -62.991946,  0.616187,  4.205753,  37.968612
 0.435000,  4.376727,  26.515511,  -53.873926,  60.045584,  -63.794759,  0.628026,  4.040441,  39.441726
 0.440000,  4.628583,  25.881645,  -55.673089,  61.395052,  -65.067053,  0.644671,  3.813240,  41.560044
 0.445000,  4.867804,  25.253887,  -57.168054,  62.497562,  -66.166756,  0.659157,  3.620223,  43.448790
 0.450000,  5.215211,  24.141913,  -58.684608,  63.456404,  -67.638633,  0.678209,  3.372731,  45.996722
 0.455000,  5.697410,  22.489460,  -59.984775,  64.062072,  -69.448122,  0.701377,  3.080969,  49.192982
 0.460000,  6.303962,  20.361562,  -60.537848,  63.870370,  -71.410051,  0.726176,  2.779162,  52.733162
 0.465000,  6.991035,  18.165413,  -60.412657,  63.084637,  -73.264681,  0.749720,  2.502024,  56.207937
 0.470000,  7.646124,  16.274655,  -59.694735,  61.873466,  -74.750129,  0.768682,  2.285060,  59.087274
 0.475000,  8.185473,  14.867097,  -58.774946,  60.626107,  -75.804943,  0.782265,  2.132923,  61.193834
 0.480000,  8.653165,  13.756656,  -57.811544,  59.425754,  -76.615138,  0.792814,  2.016573,  62.855416
 0.485000,  9.082776,  12.872152,  -57.016768,  58.451725,  -77.278267,  0.801642,  1.920391,  64.262979
 0.490000,  9.521019,  12.062881,  -56.217273,  57.496912,  -77.889475,  0.809904,  1.831325,  65.594506
 0.495000,  10.027901,  11.261727,  -55.460794,  56.592634,  -78.521864,  0.818642,  1.738121,  67.017444
 0.500000,  10.529625,  10.477213,  -54.369432,  55.369731,  -79.092710,  0.826534,  1.654787,  68.315815
 0.505000,  11.071429,  9.785674,  -53.530402,  54.417491,  -79.640520,  0.834320,  1.573352,  69.608908
 0.510000,  11.487557,  9.227252,  -52.487611,  53.292508,  -80.029500,  0.839841,  1.516063,  70.533219
 0.515000,  11.758524,  8.824988,  -51.459567,  52.210799,  -80.268941,  0.843242,  1.480955,  71.105716
 0.520000,  11.861629,  8.584348,  -50.534262,  51.258196,  -80.359233,  0.844499,  1.468020,  71.317805
 0.525000,  12.080199,  8.283034,  -49.686112,  50.371801,  -80.535558,  0.847097,  1.441336,  71.757355
 0.530000,  12.195587,  8.060598,  -48.818648,  49.479628,  -80.624448,  0.848434,  1.427637,  71.984055
 0.535000,  12.427046,  7.785328,  -48.043150,  48.669863,  -80.795452,  0.851047,  1.400930,  72.428084
 0.540000,  12.551256,  7.589454,  -47.280997,  47.886246,  -80.880926,  0.852412,  1.387007,  72.660656
 0.545000,  12.599968,  7.444077,  -46.517552,  47.109414,  -80.908341,  0.852941,  1.381622,  72.750806
 0.550000,  12.523811,  7.369873,  -45.717102,  46.307326,  -80.842501,  0.852113,  1.390059,  72.609604
 0.555000,  12.542850,  7.244724,  -44.942947,  45.523121,  -80.842937,  0.852321,  1.387940,  72.645041
 0.560000,  12.376027,  7.232287,  -44.184407,  44.772400,  -80.704166,  0.850479,  1.406731,  72.331413
 0.565000,  12.265158,  7.200733,  -43.513336,  44.105113,  -80.603798,  0.849229,  1.419503,  72.119004
