Created: Apr 1, 2019  09:16:45
AIM version 912 // ID = 190216155237
"04-01-19_2.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  54.000494,  14.851462,  -193.371406,  193.940884,  -85.608297,  0.963637,  0.321733,  92.859567
 0.105000,  48.960291,  14.411210,  -180.515614,  181.089949,  -85.435702,  0.959968,  0.354863,  92.153896
 0.110000,  37.319686,  16.763003,  -168.881498,  169.711398,  -84.331596,  0.947808,  0.465597,  89.833907
 0.115000,  34.485709,  16.363153,  -159.595486,  160.432141,  -84.146129,  0.943639,  0.503880,  89.045510
 0.120000,  27.809092,  18.618463,  -151.904428,  153.041178,  -83.012429,  0.930577,  0.624949,  86.597443
 0.125000,  28.358527,  16.425683,  -143.351198,  144.289186,  -83.463503,  0.931877,  0.612831,  86.839417
 0.130000,  25.816088,  15.628098,  -132.131936,  133.052945,  -83.254742,  0.925418,  0.673242,  85.639830
 0.135000,  19.553180,  17.056204,  -118.016321,  119.242468,  -81.776463,  0.902691,  0.889213,  81.485187
 0.140000,  9.569680,  26.705409,  -98.511237,  102.066854,  -74.832364,  0.810780,  1.821945,  65.736343
 0.145000,  4.963363,  62.123425,  -98.405063,  116.373864,  -57.735755,  0.664619,  3.548548,  44.171814
 0.150000,  6.950728,  70.388344,  -132.341721,  149.896130,  -61.993020,  0.748451,  2.516736,  56.017847
 0.155000,  13.405538,  34.451327,  -139.762412,  143.945913,  -76.152826,  0.861165,  1.298278,  74.160431
 0.160000,  16.586947,  21.291246,  -121.526549,  123.377547,  -80.062871,  0.886279,  1.048588,  78.549099
 0.165000,  14.806513,  18.648235,  -104.980868,  106.624290,  -79.927494,  0.873470,  1.175041,  76.294963
 0.170000,  9.908857,  21.320057,  -87.840232,  90.390548,  -76.357458,  0.816663,  1.759145,  66.693803
 0.175000,  4.751802,  33.456814,  -68.422899,  76.164634,  -63.942820,  0.652283,  3.711280,  42.547298
 0.180000,  2.952619,  68.550293,  -63.889285,  93.706902,  -42.984470,  0.494006,  6.125349,  24.404229
 0.185000,  4.688457,  67.996165,  -97.680704,  119.016798,  -55.158072,  0.648411,  3.762995,  42.043655
 0.190000,  4.723156,  52.608088,  -87.824350,  102.375424,  -59.077870,  0.650542,  3.734487,  42.320551
