!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Tue Mar 28 10:57:36 2023

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, +4.99572766865e+006, -2.01623800720e+006
+6.26998750000e+003, +5.39148339411e+005, -1.12412060533e+006
+1.25199750000e+004, +1.86067811667e+005, -6.67151713058e+005
+1.87699625000e+004, +9.76815613367e+004, -4.67836210962e+005
+2.50199500000e+004, +6.19483612295e+004, -3.59774062134e+005
+3.12699375000e+004, +4.39316572018e+004, -2.92234638020e+005
+3.75199250000e+004, +3.33703903857e+004, -2.46278813886e+005
+4.37699125000e+004, +2.68833358244e+004, -2.13042659200e+005
+5.00199000000e+004, +2.19729404857e+004, -1.87527322534e+005
+5.62698875000e+004, +1.86265070220e+004, -1.67646275710e+005
+6.25198750000e+004, +1.60782631211e+004, -1.51635333782e+005
+6.87698625000e+004, +1.41373080243e+004, -1.38431772286e+005
+7.50198500000e+004, +1.26118319538e+004, -1.27413449931e+005
+8.12698375000e+004, +1.13858165380e+004, -1.17987598349e+005
+8.75198250000e+004, +1.03346791775e+004, -1.09935075959e+005
+9.37698125000e+004, +9.46320051811e+003, -1.02931703039e+005
+1.00019800000e+005, +8.73587051420e+003, -9.67514769367e+004
+1.06269787500e+005, +8.10886909576e+003, -9.13000464800e+004
+1.12519775000e+005, +7.56057305300e+003, -8.64252893790e+004
+1.18769762500e+005, +7.07044293083e+003, -8.20721663250e+004
+1.25019750000e+005, +6.65626982290e+003, -7.82386653101e+004
+1.31269737500e+005, +6.28063241214e+003, -7.45852075213e+004
+1.37519725000e+005, +5.95099704466e+003, -7.13153119546e+004
+1.43769712500e+005, +5.64206569005e+003, -6.83565484431e+004
+1.50019700000e+005, +5.37796265974e+003, -6.56239129082e+004
+1.56269687500e+005, +5.14051826666e+003, -6.31065286912e+004
+1.62519675000e+005, +4.90252136823e+003, -6.07738291146e+004
+1.68769662500e+005, +4.69833751918e+003, -5.86244346393e+004
+1.75019650000e+005, +4.50848001512e+003, -5.66198497063e+004
+1.81269637500e+005, +4.33431652539e+003, -5.47414472378e+004
+1.87519625000e+005, +4.18149725276e+003, -5.29945186847e+004
+1.93769612500e+005, +4.03275392054e+003, -5.13568038970e+004
+2.00019600000e+005, +3.88094083125e+003, -4.98145696057e+004
+2.06269587500e+005, +3.75186417875e+003, -4.83713245479e+004
+2.12519575000e+005, +3.63146170223e+003, -4.70128625313e+004
+2.18769562500e+005, +3.51784165538e+003, -4.57229483393e+004
