!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Wed Oct 12 10:17:16 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, -5.55296232163e+007, -3.99172377275e+008
+1.26997500000e+003, +2.92420394975e+005, -8.63600231698e+006
+2.51995000000e+003, +1.61372186143e+005, -4.38412027473e+006
+3.76992500000e+003, +1.00910108668e+005, -2.95623220396e+006
+5.01990000000e+003, +7.01253793413e+004, -2.23138868527e+006
+6.26987500000e+003, +5.43774802411e+004, -1.79639865189e+006
+7.51985000000e+003, +4.53965177503e+004, -1.50029818851e+006
+8.76982500000e+003, +3.85832399966e+004, -1.29460757667e+006
+1.00198000000e+004, +3.41645252685e+004, -1.13334846931e+006
+1.12697750000e+004, +3.05420343740e+004, -1.00933455128e+006
+1.25197500000e+004, +2.66666437891e+004, -9.10769911774e+005
+1.37697250000e+004, +2.46704247910e+004, -8.29669480888e+005
+1.50197000000e+004, +2.16605414761e+004, -7.62533787479e+005
+1.62696750000e+004, +2.02783528966e+004, -7.05173424299e+005
+1.75196500000e+004, +1.88151202084e+004, -6.55082849288e+005
+1.87696250000e+004, +1.81216856825e+004, -6.12705771190e+005
+2.00196000000e+004, +1.68409831168e+004, -5.74464473131e+005
+2.12695750000e+004, +1.57988626821e+004, -5.41770900022e+005
+2.25195500000e+004, +1.47818110573e+004, -5.11989725616e+005
+2.37695250000e+004, +1.41893874471e+004, -4.85960347956e+005
+2.50195000000e+004, +1.32825255457e+004, -4.61763533196e+005
+2.62694750000e+004, +1.26519043151e+004, -4.40208833151e+005
+2.75194500000e+004, +1.21341487227e+004, -4.20329360006e+005
+2.87694250000e+004, +1.16110193368e+004, -4.02469661318e+005
+3.00194000000e+004, +1.10884381921e+004, -3.86149814144e+005
+3.12693750000e+004, +1.09116122931e+004, -3.71009135955e+005
+3.25193500000e+004, +1.02236098868e+004, -3.56967997125e+005
+3.37693250000e+004, +9.89090559501e+003, -3.44027650651e+005
+3.50193000000e+004, +9.49523113515e+003, -3.31895612450e+005
+3.62692750000e+004, +9.20216648315e+003, -3.20639054910e+005
+3.75192500000e+004, +8.83054538370e+003, -3.10251673976e+005
+3.87692250000e+004, +8.59888932068e+003, -3.00273478598e+005
+4.00192000000e+004, +8.10409981881e+003, -2.91272000105e+005
+4.12691750000e+004, +7.32931839081e+003, -2.83265375442e+005
+4.25191500000e+004, +8.93956672649e+003, -2.74354219783e+005
+4.37691250000e+004, +7.28187333557e+003, -2.66233173675e+005
+4.50191000000e+004, +7.50421781219e+003, -2.59422195026e+005
+4.62690750000e+004, +7.16456713039e+003, -2.52505462672e+005
+4.75190500000e+004, +7.11465730324e+003, -2.45931420083e+005
+4.87690250000e+004, +6.85685651125e+003, -2.39779940038e+005
+5.00190000000e+004, +6.70068772050e+003, -2.33862093564e+005
+5.12689750000e+004, +6.43822436828e+003, -2.28364670128e+005
+5.25189500000e+004, +6.28036358549e+003, -2.22938276148e+005
+5.37689250000e+004, +6.30131650056e+003, -2.17946884630e+005
+5.50189000000e+004, +6.03842747462e+003, -2.13052393555e+005
+5.62688750000e+004, +5.87858787648e+003, -2.08333559664e+005
+5.75188500000e+004, +5.81693351516e+003, -2.03979391825e+005
+5.87688250000e+004, +5.66715597776e+003, -1.99639712346e+005
+6.00188000000e+004, +5.49378974320e+003, -1.95580811096e+005
+6.12687750000e+004, +5.46704679204e+003, -1.91656078023e+005
+6.25187500000e+004, +5.30418578924e+003, -1.87947510837e+005
+6.37687250000e+004, +5.24593525200e+003, -1.84300743307e+005
+6.50187000000e+004, +5.14830579812e+003, -1.80811349657e+005
+6.62686750000e+004, +5.05196218354e+003, -1.77433685029e+005
+6.75186500000e+004, +4.95368899356e+003, -1.74194362873e+005
+6.87686250000e+004, +4.86379803603e+003, -1.71110871643e+005
+7.00186000000e+004, +4.79733538642e+003, -1.68116268461e+005
+7.12685750000e+004, +4.67896567312e+003, -1.65279577124e+005
+7.25185500000e+004, +4.63294593383e+003, -1.62432012410e+005
+7.37685250000e+004, +4.54159478490e+003, -1.59714210971e+005
+7.50185000000e+004, +4.45512145994e+003, -1.57126853363e+005
