!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Fri Sep 09 10:22:19 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, +9.42785907363e+007, -2.35566283454e+008
+1.26997500000e+003, +1.08724896903e+006, -4.57282895238e+006
+2.51995000000e+003, +6.36220661970e+005, -2.63732873521e+006
+3.76992500000e+003, +4.16545179046e+005, -1.91034249824e+006
+5.01990000000e+003, +2.93219978995e+005, -1.50964196539e+006
+6.26987500000e+003, +2.15762782083e+005, -1.24958330467e+006
+7.51985000000e+003, +1.63682044764e+005, -1.06285466980e+006
+8.76982500000e+003, +1.29280408013e+005, -9.26592898604e+005
+1.00198000000e+004, +1.05235739678e+005, -8.19512238356e+005
+1.12697750000e+004, +8.72964818898e+004, -7.34919172421e+005
+1.25197500000e+004, +7.30682821627e+004, -6.65615405298e+005
+1.37697250000e+004, +6.34408616226e+004, -6.08980542369e+005
+1.50197000000e+004, +5.49941071983e+004, -5.60531916954e+005
+1.62696750000e+004, +4.82899175206e+004, -5.19707711434e+005
+1.75196500000e+004, +4.30280427425e+004, -4.84534560823e+005
+1.87696250000e+004, +3.85936402633e+004, -4.52946546793e+005
+2.00196000000e+004, +3.44101060283e+004, -4.25746207113e+005
+2.12695750000e+004, +3.14308593435e+004, -4.01729226507e+005
+2.25195500000e+004, +2.88943184072e+004, -3.80022354979e+005
+2.37695250000e+004, +2.63355434669e+004, -3.60657595786e+005
+2.50195000000e+004, +2.45088260551e+004, -3.43467566291e+005
+2.62694750000e+004, +2.26707289533e+004, -3.27478522813e+005
+2.75194500000e+004, +2.08840042731e+004, -3.12995752440e+005
+2.87694250000e+004, +1.95068984849e+004, -2.99818657488e+005
+3.00194000000e+004, +1.83540598011e+004, -2.87821111848e+005
+3.12693750000e+004, +1.73018153639e+004, -2.76529863194e+005
+3.25193500000e+004, +1.63109455286e+004, -2.65949643987e+005
+3.37693250000e+004, +1.53956860695e+004, -2.56501503943e+005
+3.50193000000e+004, +1.45251222669e+004, -2.47535193002e+005
+3.62692750000e+004, +1.38675827999e+004, -2.39259170123e+005
+3.75192500000e+004, +1.31289240640e+004, -2.31481583838e+005
+3.87692250000e+004, +1.25456438768e+004, -2.24254612707e+005
+4.00192000000e+004, +1.19048658040e+004, -2.17144370377e+005
+4.12691750000e+004, +1.14215623519e+004, -2.10160926263e+005
+4.25191500000e+004, +1.05210274802e+004, -2.05366954449e+005
+4.37691250000e+004, +1.06468265120e+004, -1.98861239019e+005
+4.50191000000e+004, +1.01036449299e+004, -1.93702486952e+005
+4.62690750000e+004, +9.56826366637e+003, -1.88565239235e+005
+4.75190500000e+004, +9.27781189947e+003, -1.83751869415e+005
+4.87690250000e+004, +8.97888489415e+003, -1.79168179809e+005
+5.00190000000e+004, +8.64719817538e+003, -1.74722465615e+005
+5.12689750000e+004, +8.40213163306e+003, -1.70528814517e+005
+5.25189500000e+004, +8.05614333174e+003, -1.66532061857e+005
+5.37689250000e+004, +7.81212683077e+003, -1.62801859653e+005
+5.50189000000e+004, +7.54474909228e+003, -1.59196050902e+005
+5.62688750000e+004, +7.35561431192e+003, -1.55694400045e+005
+5.75188500000e+004, +7.04248056224e+003, -1.52350746039e+005
+5.87688250000e+004, +6.86307650712e+003, -1.49237647256e+005
+6.00188000000e+004, +6.67773182114e+003, -1.46118504295e+005
+6.12687750000e+004, +6.48456524751e+003, -1.43278102299e+005
+6.25187500000e+004, +6.32778754305e+003, -1.40409541351e+005
