!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 15:17:37 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, -2.43655302340e+006, -1.86047628929e+008
+1.26997500000e+003, +7.57653796462e+005, -3.64433624242e+006
+2.51995000000e+003, +5.33555820766e+005, -2.03457188930e+006
+3.76992500000e+003, +4.08394505797e+005, -1.47249104295e+006
+5.01990000000e+003, +3.26529792584e+005, -1.18096401607e+006
+6.26987500000e+003, +2.62539100104e+005, -9.96778320588e+005
+7.51985000000e+003, +2.18027182062e+005, -8.65439980331e+005
+8.76982500000e+003, +1.83209731843e+005, -7.66204781467e+005
+1.00198000000e+004, +1.55099549412e+005, -6.88579685049e+005
+1.12697750000e+004, +1.33753842215e+005, -6.24742931923e+005
+1.25197500000e+004, +1.15825254142e+005, -5.71950192632e+005
+1.37697250000e+004, +1.01650417172e+005, -5.27199512733e+005
+1.50197000000e+004, +8.99710286935e+004, -4.89547997361e+005
+1.62696750000e+004, +8.01259001721e+004, -4.56470112126e+005
+1.75196500000e+004, +7.22747144232e+004, -4.27211609039e+005
+1.87696250000e+004, +6.51919884594e+004, -4.01931477688e+005
+2.00196000000e+004, +5.91488062287e+004, -3.79488058039e+005
+2.12695750000e+004, +5.40924248603e+004, -3.59381435188e+005
+2.25195500000e+004, +4.98180370614e+004, -3.41013823957e+005
+2.37695250000e+004, +4.58659184810e+004, -3.24567015863e+005
+2.50195000000e+004, +4.25424635200e+004, -3.09688097563e+005
+2.62694750000e+004, +3.94591030726e+004, -2.96170943069e+005
+2.75194500000e+004, +3.67565694052e+004, -2.83711014403e+005
+2.87694250000e+004, +3.43122632383e+004, -2.72280378840e+005
+3.00194000000e+004, +3.22274773715e+004, -2.61559475046e+005
+3.12693750000e+004, +3.02283770294e+004, -2.51912624652e+005
+3.25193500000e+004, +2.86299832742e+004, -2.42805872976e+005
+3.37693250000e+004, +2.69924224907e+004, -2.34303914225e+005
+3.50193000000e+004, +2.55534486242e+004, -2.26483314654e+005
+3.62692750000e+004, +2.42581313348e+004, -2.19166559534e+005
+3.75192500000e+004, +2.30129652506e+004, -2.12252531141e+005
+3.87692250000e+004, +2.18401620531e+004, -2.05851162242e+005
+4.00192000000e+004, +2.08287799465e+004, -1.99729668119e+005
+4.12691750000e+004, +1.99095905043e+004, -1.94207276313e+005
+4.25191500000e+004, +1.95074521243e+004, -1.87979478430e+005
+4.37691250000e+004, +1.82299152541e+004, -1.83367285413e+005
+4.50191000000e+004, +1.74909566350e+004, -1.78564646015e+005
+4.62690750000e+004, +1.68325473852e+004, -1.74055960620e+005
+4.75190500000e+004, +1.62191280868e+004, -1.69686958752e+005
+4.87690250000e+004, +1.55610975495e+004, -1.65546914045e+005
+5.00190000000e+004, +1.49994771125e+004, -1.61601012418e+005
+5.12689750000e+004, +1.44039548214e+004, -1.57815567890e+005
+5.25189500000e+004, +1.39190372150e+004, -1.54279193043e+005
+5.37689250000e+004, +1.34315503333e+004, -1.50772110630e+005
+5.50189000000e+004, +1.30020773332e+004, -1.47562415053e+005
+5.62688750000e+004, +1.25266490968e+004, -1.44332402400e+005
+5.75188500000e+004, +1.21686770358e+004, -1.41368965551e+005
+5.87688250000e+004, +1.18001609392e+004, -1.38442543392e+005
+6.00188000000e+004, +1.13843774608e+004, -1.35730930030e+005
+6.12687750000e+004, +1.11523756068e+004, -1.33041836832e+005
+6.25187500000e+004, +1.07776427040e+004, -1.30534736414e+005
+6.37687250000e+004, +1.04685003351e+004, -1.28062460724e+005
+6.50187000000e+004, +1.02001325001e+004, -1.25593013331e+005
+6.62686750000e+004, +9.93904430283e+003, -1.23392853541e+005
+6.75186500000e+004, +9.61522182312e+003, -1.21192067962e+005
+6.87686250000e+004, +9.37528648838e+003, -1.19165699061e+005
+7.00186000000e+004, +9.20218083587e+003, -1.17121719565e+005
+7.12685750000e+004, +8.93051254119e+003, -1.15100557188e+005
+7.25185500000e+004, +8.68882394180e+003, -1.13168135442e+005
+7.37685250000e+004, +8.50707979951e+003, -1.11312409670e+005
+7.50185000000e+004, +8.25945937178e+003, -1.09543281082e+005
+7.62684750000e+004, +8.09149260585e+003, -1.07769308666e+005
+7.75184500000e+004, +7.92312958759e+003, -1.06113470502e+005
+7.87684250000e+004, +7.72261336556e+003, -1.04521364716e+005
+8.00184000000e+004, +7.56250600652e+003, -1.02954849896e+005
+8.12683750000e+004, +7.37169181509e+003, -1.01391494094e+005
+8.25183500000e+004, +7.22181443426e+003, -9.99248950848e+004
+8.37683250000e+004, +7.05465340120e+003, -9.84664590599e+004
+8.50183000000e+004, +6.96862154024e+003, -9.70730300175e+004
+8.62682750000e+004, +6.79831947431e+003, -9.57024869508e+004
+8.75182500000e+004, +6.65374016553e+003, -9.43922376795e+004
+8.87682250000e+004, +6.51886623342e+003, -9.31060168296e+004
+9.00182000000e+004, +6.39584575562e+003, -9.18630244026e+004
+9.12681750000e+004, +6.27546548408e+003, -9.06413319431e+004
+9.25181500000e+004, +6.16505835223e+003, -8.94807794197e+004
+9.37681250000e+004, +6.05312979643e+003, -8.83136651225e+004
+9.50181000000e+004, +5.92608288073e+003, -8.71882134512e+004
+9.62680750000e+004, +5.82744501912e+003, -8.60897876375e+004
+9.75180500000e+004, +5.71305116221e+003, -8.49868339811e+004
+9.87680250000e+004, +5.60134404461e+003, -8.39728999159e+004
+1.00018000000e+005, +5.58251950732e+003, -8.29728209151e+004
+1.01267975000e+005, +5.41320817286e+003, -8.19553863628e+004
+1.02517950000e+005, +5.32558984017e+003, -8.10072752841e+004
+1.03767925000e+005, +5.24643300576e+003, -8.00541274801e+004
+1.05017900000e+005, +5.15200879403e+003, -7.91366848610e+004
+1.06267875000e+005, +5.04644744621e+003, -7.82362868565e+004
+1.07517850000e+005, +5.00054859326e+003, -7.73522195892e+004
+1.08767825000e+005, +4.91203981537e+003, -7.64836056526e+004
+1.10017800000e+005, +4.81159867358e+003, -7.56513762640e+004
+1.11267775000e+005, +4.75862915459e+003, -7.48245442180e+004
+1.12517750000e+005, +4.69519497845e+003, -7.40448796445e+004
+1.13767725000e+005, +4.60939717309e+003, -7.32342284056e+004
+1.15017700000e+005, +4.55681705589e+003, -7.24436126583e+004
+1.16267675000e+005, +4.44406298515e+003, -7.17024441585e+004
+1.17517650000e+005, +4.41079591788e+003, -7.09463271624e+004
+1.18767625000e+005, +4.34695055885e+003, -7.02396348293e+004
+1.20017600000e+005, +4.29502506857e+003, -6.95345943011e+004
+1.21267575000e+005, +4.22767920210e+003, -6.88228850153e+004
+1.22517550000e+005, +4.17712691833e+003, -6.81537879592e+004
+1.23767525000e+005, +4.12842796812e+003, -6.74918567036e+004
+1.25017500000e+005, +4.06578968211e+003, -6.68018812777e+004
+1.26267475000e+005, +4.00064425130e+003, -6.61821372748e+004
+1.27517450000e+005, +3.97134198519e+003, -6.55633315064e+004
+1.28767425000e+005, +3.89813646954e+003, -6.49569112251e+004
+1.30017400000e+005, +3.84779587604e+003, -6.43443563793e+004
+1.31267375000e+005, +3.83704888606e+003, -6.37469778155e+004
+1.32517350000e+005, +3.74541210090e+003, -6.31165161523e+004
+1.33767325000e+005, +3.70178228340e+003, -6.25932215380e+004
+1.35017300000e+005, +3.66093414944e+003, -6.20147497235e+004
+1.36267275000e+005, +3.60770089237e+003, -6.14646338817e+004
+1.37517250000e+005, +3.56670275638e+003, -6.09167046721e+004
+1.38767225000e+005, +3.56292787300e+003, -6.04144599540e+004
+1.40017200000e+005, +3.47612977141e+003, -5.98519727917e+004
+1.41267175000e+005, +3.44948672139e+003, -5.93478245804e+004
+1.42517150000e+005, +3.42082721865e+003, -5.88488641668e+004
+1.43767125000e+005, +3.34970816623e+003, -5.83425274486e+004
+1.45017100000e+005, +3.32079226107e+003, -5.78540707431e+004
+1.46267075000e+005, +3.27338112124e+003, -5.73737621691e+004
+1.47517050000e+005, +3.27362361666e+003, -5.68972206971e+004
+1.48767025000e+005, +3.20870627739e+003, -5.64402457255e+004
+1.50017000000e+005, +3.17749312225e+003, -5.59849653851e+004
+1.51266975000e+005, +3.14101110959e+003, -5.55283733611e+004
+1.52516950000e+005, +3.10410350784e+003, -5.50918778608e+004
+1.53766925000e+005, +3.09171431251e+003, -5.46695499766e+004
+1.55016900000e+005, +3.04753388363e+003, -5.42306029136e+004
+1.56266875000e+005, +2.99868377984e+003, -5.37907928996e+004
+1.57516850000e+005, +2.94046962534e+003, -5.34037813063e+004
+1.58766825000e+005, +2.94199142707e+003, -5.29655779873e+004
+1.60016800000e+005, +2.92616634127e+003, -5.25749535086e+004
+1.61266775000e+005, +2.89158944100e+003, -5.21920033809e+004
+1.62516750000e+005, +2.87180683363e+003, -5.18018223863e+004
+1.63766725000e+005, +2.83190426827e+003, -5.14427860211e+004
+1.65016700000e+005, +2.78907081748e+003, -5.10371312638e+004
+1.66266675000e+005, +2.76952523793e+003, -5.06590073128e+004
+1.67516650000e+005, +2.76149832983e+003, -5.02708127931e+004
+1.68766625000e+005, +2.72835109011e+003, -4.99107776991e+004
+1.70016600000e+005, +2.68180305760e+003, -4.95692907200e+004
+1.71266575000e+005, +2.66898163655e+003, -4.92216715037e+004
+1.72516550000e+005, +2.65324748171e+003, -4.88714968068e+004
+1.73766525000e+005, +2.62450707125e+003, -4.85354596480e+004
+1.75016500000e+005, +2.60304478780e+003, -4.81876447252e+004
+1.76266475000e+005, +2.57476659929e+003, -4.78547143486e+004
+1.77516450000e+005, +2.54543578448e+003, -4.75261596635e+004
+1.78766425000e+005, +2.53159881934e+003, -4.72062244322e+004
+1.80016400000e+005, +2.50746585470e+003, -4.69029684607e+004
+1.81266375000e+005, +2.47608589258e+003, -4.65666369992e+004
+1.82516350000e+005, +2.45707384945e+003, -4.62361046575e+004
+1.83766325000e+005, +2.43937633456e+003, -4.59597679134e+004
+1.85016300000e+005, +2.41817707689e+003, -4.56415581488e+004
+1.86266275000e+005, +2.40434518636e+003, -4.53427468188e+004
+1.87516250000e+005, +2.38108904258e+003, -4.50691552088e+004
+1.88766225000e+005, +2.35970356275e+003, -4.47626140420e+004
+1.90016200000e+005, +2.32507371871e+003, -4.44716716309e+004
+1.91266175000e+005, +2.30342901027e+003, -4.41959291108e+004
+1.92516150000e+005, +2.30537356632e+003, -4.39113976058e+004
+1.93766125000e+005, +2.24360218601e+003, -4.36402845982e+004
+1.95016100000e+005, +2.25468165068e+003, -4.33856471429e+004
+1.96266075000e+005, +2.23974105508e+003, -4.30979595625e+004
+1.97516050000e+005, +2.21245068081e+003, -4.28394113199e+004
+1.98766025000e+005, +2.19987820822e+003, -4.25754550393e+004
